Country_code,Country_name,Series_code,Series_name,Year,Value
DMA,Dominica,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,9.404154
DNK,Denmark,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,17.66819
DOM,Dominican Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.139139
DZA,Algeria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.3513818
EAP,East Asia & Pacific,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.46469755103448
ECA,Europe & Central Asia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.44257664497586
ECU,Ecuador,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.036756
EGY,"Egypt, Arab Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.048382
EMU,Euro area,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.60182062190042
ERI,Eritrea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.119232
ESP,Spain,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.256672
EST,Estonia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.354928
ETH,Ethiopia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.6725273
FIN,Finland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.108274
FJI,Fiji,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,11.35986
FRA,France,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.067913
FRO,Faeroe Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,14.54897
FSM,"Micronesia, Fed. Sts.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,33.37462
GAB,Gabon,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.5366168
GBR,United Kingdom,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,7.612598
GEO,Georgia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.427602
GHA,Ghana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.7665069
GIB,Gibraltar,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,100.0001
GIN,Guinea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.050092
GMB,"Gambia, The",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,16.58088
GNB,Guinea-Bissau,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,9.497562
GNQ,Equatorial Guinea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.9218137
GRC,Greece,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,6.334259
GRD,Grenada,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,21.74677
GRL,Greenland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,16.26579
GTM,Guatemala,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.5609614
GUM,Guam,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,20.38489
GUY,Guyana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.715692
HIC,High income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.17596118230888
HKG,"Hong Kong SAR, China",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,24.57421
HND,Honduras,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.043469
HRV,Croatia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.030254
HTI,Haiti,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.940334
HUN,Hungary,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
IDN,Indonesia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,5.497674
IMY,Isle of Man,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,12.08876
IND,India,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.353457
IRL,Ireland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.958941
IRN,"Iran, Islamic Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.593336
IRQ,Iraq,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.024576
ISL,Iceland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.41256
ISR,Israel,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,7.823743
ITA,Italy,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,5.188644
JAM,Jamaica,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,7.141161
JOR,Jordan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.007511
JPN,Japan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,5.883866
KAZ,Kazakhstan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,6.678062
KEN,Kenya,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.2394978
KGZ,Kyrgyz Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
KHM,Cambodia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.842303
KIR,Kiribati,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,96.66959
KNA,St. Kitts and Nevis,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,19.02063
KOR,"Korea, Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.301836
KSV,Kosovo,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,
KWT,Kuwait,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,8.859625
LAC,Latin America & Caribbean,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.51022492190401
LAO,Lao PDR,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
LBN,Lebanon,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.742301
LBR,Liberia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.3521506
LBY,Libya,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.7758676
LCA,St. Lucia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,8.024293
LIC,Low income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.724243777475671
LIE,Liechtenstein,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
LKA,Sri Lanka,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.868529
LMC,Lower middle income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.69769118902467
LMY,Low & middle income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.33504019130342
LSO,Lesotho,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
LTU,Lithuania,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.911668
LUX,Luxembourg,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
LVA,Latvia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.031544
MAC,"Macao SAR, China",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,35.38876
MAF,St. Martin (French part),AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,
MAR,Morocco,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.702659
MCO,Monaco,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,100.0
MDA,Moldova,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.302524
MDG,Madagascar,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.338625
MDV,Maldives,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,99.99999
MEX,Mexico,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.941872
MHL,Marshall Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,99.01826
MIC,Middle income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.48622099228937
MKD,"Macedonia, FYR",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
MLI,Mali,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
MLT,Malta,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,19.35084
MMR,Myanmar,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.560159
MNA,Middle East & North Africa,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.38658630189215
MNE,Montenegro,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,
MNG,Mongolia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
MNP,Northern Mariana Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,28.05892
MOZ,Mozambique,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.832448
MRT,Mauritania,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.04547
MUS,Mauritius,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,7.070228
MWI,Malawi,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
MYS,Malaysia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.99209
MYT,Mayotte,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,21.56333
NAM,Namibia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.2863445
NCL,New Caledonia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,8.02987
NER,Niger,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
NGA,Nigeria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.5417737
NIC,Nicaragua,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.569984
NIU,Niue,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,10.43766
NLD,Netherlands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,58.46905
NOR,Norway,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.850657
NPL,Nepal,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
NRU,Nauru,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,40.35884
NZL,New Zealand,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.741883
OMN,Oman,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.082381
PAK,Pakistan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.420484
PAN,Panama,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.705232
PER,Peru,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.37851
PHL,Philippines,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,6.017094
PLW,Palau,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,21.3706
PNG,Papua New Guinea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.840861
POL,Poland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.680418
PRI,Puerto Rico,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,7.731913
PRK,"Korea, Dem. Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.420686
PRT,Portugal,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.305464
PRY,Paraguay,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
PYF,French Polynesia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,37.59521
QAT,Qatar,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,13.39369
ROM,Romania,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.905914
RUS,Russian Federation,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.905153
RWA,Rwanda,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
SAS,South Asia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.51127561273193
SAU,Saudi Arabia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.4817074
SDN,Sudan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.09428031
SEN,Senegal,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.458758
SGP,Singapore,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,8.058207
SID,Small island developing states,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,5.400355944
SLB,Solomon Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,11.53864
SLE,Sierra Leone,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.003588
SLV,El Salvador,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.452742
SMR,San Marino,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
SOM,Somalia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.5667931
SRB,Serbia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.1889901
SSA,Sub-Saharan Africa,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.365694339319378
STP,Sao Tome and Principe,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,14.72324
SUR,Suriname,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.449275
SVK,Slovak Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
SVN,Slovenia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.2044258
SWE,Sweden,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.528626
SWZ,Swaziland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
SXM,Sint Maarten (Dutch part),AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,
SYC,Seychelles,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,43.94353
SYR,Syrian Arab Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.05983744
TCA,Turks and Caicos Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,53.2727
TCD,Chad,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
TGO,Togo,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.5779024
THA,Thailand,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.167608
TJK,Tajikistan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
TKM,Turkmenistan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,5.304284
TMP,Timor-Leste,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.888742
TON,Tonga,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,40.46064
TTO,Trinidad and Tobago,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,7.978341
TUN,Tunisia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.791754
TUR,Turkey,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.026591
TUV,Tuvalu,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,99.99996
TZA,Tanzania,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.1756921
UGA,Uganda,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
UKR,Ukraine,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.542492
UMC,Upper middle income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.36903038913607
URY,Uruguay,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.906647
USA,United States,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.717947
UZB,Uzbekistan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0525719
VCT,St. Vincent and the Grenadines,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,21.95773
VEN,"Venezuela, RB",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.286449
VIR,Virgin Islands (U.S.),AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,30.95858
VNM,Vietnam,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,17.50231
VUT,Vanuatu,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,11.67647
WBG,West Bank and Gaza,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,14.84334
WLD,World,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.59755744997767
WSM,Samoa,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,7.33132
YEM,"Yemen, Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.5608405
ZAF,South Africa,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.1342833
ZAR,"Congo, Dem. Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.01547777
ZMB,Zambia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
ZWE,Zimbabwe,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
ABW,Aruba,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ADO,Andorra,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
AFG,Afghanistan,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
AGO,Angola,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ALB,Albania,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ARE,United Arab Emirates,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ARG,Argentina,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ARM,Armenia,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ASM,American Samoa,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ATG,Antigua and Barbuda,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
AUS,Australia,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
AUT,Austria,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
AZE,Azerbaijan,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BDI,Burundi,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BEL,Belgium,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BEN,Benin,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BFA,Burkina Faso,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BGD,Bangladesh,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BGR,Bulgaria,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BHR,Bahrain,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BHS,"Bahamas, The",AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BIH,Bosnia and Herzegovina,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BLR,Belarus,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BLZ,Belize,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BMU,Bermuda,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BOL,Bolivia,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BRA,Brazil,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BRB,Barbados,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BRN,Brunei Darussalam,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BTN,Bhutan,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
BWA,Botswana,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CAF,Central African Republic,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CAN,Canada,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CHE,Switzerland,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CHI,Channel Islands,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CHL,Chile,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CHN,China,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CIV,Cote d'Ivoire,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CMR,Cameroon,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
COG,"Congo, Rep.",AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
COK,Cook Islands,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
COL,Colombia,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
COM,Comoros,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CPV,Cape Verde,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CRI,Costa Rica,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CUB,Cuba,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CUW,Curacao,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CYM,Cayman Islands,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CYP,Cyprus,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
CZE,Czech Republic,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
DEU,Germany,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
DJI,Djibouti,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
DMA,Dominica,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
DNK,Denmark,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
DOM,Dominican Republic,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
DZA,Algeria,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
EAP,East Asia & Pacific,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ECA,Europe & Central Asia,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
ECU,Ecuador,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),1990,
