Area,Year,Population,Violent_Crime_Count,Violent_Crime_Rate,Murder_Count,Murder_Rate,Rape_Revised_Count,Rape_Revised_Rate,Rape_Legacy_Count,Rape_Legacy_Rate,Robbery_Count,Robbery_Rate,Aggravated_Assault_Count,Aggravated_Assault_Rate,Property_Crime_Count,Property_Crime_Rate,Burglary_Count,Burglary_Rate,Larceny_Theft_Count,Larceny_Theft_Rate,Motor_Vehicle_Theft_Count,Motor_Vehicle_Theft_Rate,Row_Type
Massachusetts,,,-2.9,-3.3,2.3,1.9,2.2,1.8,3.5,3.1,1.9,1.5,-4.9,-5.3,-7.2,-7.5,-12.1,-12.4,-6.6,-7.0,0.2,-0.2,Percent_Change
New Hampshire,2015.0,1330111.0,2692.0,202.4,15.0,1.1,644.0,48.4,468.0,35.2,475.0,35.7,1558.0,117.1,23453.0,1763.2,3482.0,261.8,19076.0,1434.2,895.0,67.3,Yearly
New Hampshire,2016.0,1334795.0,2637.0,197.6,17.0,1.3,582.0,43.6,423.0,31.7,427.0,32.0,1611.0,120.7,20194.0,1512.9,2963.0,222.0,16360.0,1225.7,871.0,65.3,Yearly
New Hampshire,,,-2.0,-2.4,13.3,12.9,-9.6,-9.9,-9.6,-9.9,-10.1,-10.4,3.4,3.0,-13.9,-14.2,-14.9,-15.2,-14.2,-14.5,-2.7,-3.0,Percent_Change
Rhode Island,2015.0,1055607.0,2565.0,243.0,31.0,2.9,467.0,44.2,342.0,32.4,547.0,51.8,1520.0,144.0,20038.0,1898.2,3938.0,373.1,14714.0,1393.9,1386.0,131.3,Yearly
Rhode Island,2016.0,1056426.0,2524.0,238.9,29.0,2.7,442.0,41.8,328.0,31.0,540.0,51.1,1513.0,143.2,20058.0,1898.7,3788.0,358.6,14674.0,1389.0,1596.0,151.1,Yearly
Rhode Island,,,-1.6,-1.7,-6.5,-6.5,-5.4,-5.4,-4.1,-4.2,-1.3,-1.4,-0.5,-0.5,0.1,,-3.8,-3.9,-0.3,-0.3,15.2,15.1,Percent_Change
Vermont,2015.0,626088.0,747.0,119.3,10.0,1.6,150.0,24.0,104.0,16.6,105.0,16.8,482.0,77.0,9064.0,1447.7,2034.0,324.9,6834.0,1091.5,196.0,31.3,Yearly
Vermont,2016.0,624594.0,989.0,158.3,14.0,2.2,178.0,28.5,124.0,19.9,106.0,17.0,691.0,110.6,10602.0,1697.4,2103.0,336.7,8217.0,1315.6,282.0,45.1,Yearly
Vermont,,,32.4,32.7,40.0,40.3,18.7,19.0,19.2,19.5,1.0,1.2,43.4,43.7,17.0,17.2,3.4,3.6,20.2,20.5,43.9,44.2,Percent_Change
Middle Atlantic,2015.0,41474508.0,138353.0,333.6,1641.0,4.0,11813.0,28.5,8538.0,20.6,46573.0,112.3,78326.0,188.9,694867.0,1675.4,111650.0,269.2,544036.0,1311.7,39181.0,94.5,Yearly
Middle Atlantic,2016.0,41473985.0,136646.0,329.5,1663.0,4.0,12146.0,29.3,8891.0,21.4,43626.0,105.2,79211.0,191.0,666128.0,1606.1,100625.0,242.6,526736.0,1270.0,38767.0,93.5,Yearly
Middle Atlantic,,,-1.2,-1.2,1.3,1.3,2.8,2.8,4.1,4.1,-6.3,-6.3,1.1,1.1,-4.1,-4.1,-9.9,-9.9,-3.2,-3.2,-1.1,-1.1,Percent_Change
New Jersey,2015.0,8935421.0,22879.0,256.0,363.0,4.1,1373.0,15.4,1019.0,11.4,9729.0,108.9,11414.0,127.7,145701.0,1630.6,27960.0,312.9,105963.0,1185.9,11778.0,131.8,Yearly
New Jersey,2016.0,8944469.0,21914.0,245.0,372.0,4.2,1453.0,16.2,1089.0,12.2,8984.0,100.4,11105.0,124.2,138152.0,1544.6,25284.0,282.7,101540.0,1135.2,11328.0,126.6,Yearly
New Jersey,,,-4.2,-4.3,2.5,2.4,5.8,5.7,6.9,6.8,-7.7,-7.8,-2.7,-2.8,-5.2,-5.3,-9.6,-9.7,-4.2,-4.3,-3.8,-3.9,Percent_Change
New York,2015.0,19747183.0,75126.0,380.4,613.0,3.1,6141.0,31.1,4414.0,22.4,23879.0,120.9,44493.0,225.3,317225.0,1606.4,44117.0,223.4,257837.0,1305.7,15271.0,77.3,Yearly
New York,2016.0,19745289.0,74285.0,376.2,630.0,3.2,6260.0,31.7,4569.0,23.1,22316.0,113.0,45079.0,228.3,305181.0,1545.6,39821.0,201.7,250968.0,1271.0,14392.0,72.9,Yearly
New York,,,-1.1,-1.1,2.8,2.8,1.9,1.9,3.5,3.5,-6.5,-6.5,1.3,1.3,-3.8,-3.8,-9.7,-9.7,-2.7,-2.7,-5.8,-5.7,Percent_Change
Pennsylvania,2015.0,12791904.0,40348.0,315.4,665.0,5.2,4299.0,33.6,3105.0,24.3,12965.0,101.4,22419.0,175.3,231941.0,1813.2,39573.0,309.4,180236.0,1409.0,12132.0,94.8,Yearly
Pennsylvania,2016.0,12784227.0,40447.0,316.4,661.0,5.2,4433.0,34.7,3233.0,25.3,12326.0,96.4,23027.0,180.1,222795.0,1742.7,35520.0,277.8,174228.0,1362.8,13047.0,102.1,Yearly
Pennsylvania,,,0.2,0.3,-0.6,-0.5,3.1,3.2,4.1,4.2,-4.9,-4.9,2.7,2.8,-3.9,-3.9,-10.2,-10.2,-3.3,-3.3,7.5,7.6,Percent_Change
Midwest,2015.0,67838387.0,242893.0,358.0,3422.0,5.0,30827.0,45.4,22395.0,33.0,62201.0,91.7,146443.0,215.9,1555516.0,2293.0,307853.0,453.8,1125935.0,1659.7,121728.0,179.4,Yearly
Midwest,2016.0,67941429.0,257109.0,378.4,3885.0,5.7,31408.0,46.2,23080.0,34.0,64022.0,94.2,157794.0,232.3,1544531.0,2273.3,300359.0,442.1,1112596.0,1637.6,131576.0,193.7,Yearly
Midwest,,,5.9,5.7,13.5,13.4,1.9,1.7,3.1,2.9,2.9,2.8,7.8,7.6,-0.7,-0.9,-2.4,-2.6,-1.2,-1.3,8.1,7.9,Percent_Change
East North Central,2015.0,46742511.0,168762.0,361.0,2471.0,5.3,21268.0,45.5,15455.0,33.1,47806.0,102.3,97217.0,208.0,1037945.0,2220.6,211221.0,451.9,748309.0,1600.9,78415.0,167.8,Yearly
East North Central,2016.0,46755973.0,180827.0,386.7,2974.0,6.4,22102.0,47.3,16199.0,34.6,49506.0,105.9,106245.0,227.2,1034762.0,2213.1,207962.0,444.8,742358.0,1587.7,84442.0,180.6,Yearly
East North Central,,,7.1,7.1,20.4,20.3,3.9,3.9,4.8,4.8,3.6,3.5,9.3,9.3,-0.3,-0.3,-1.5,-1.6,-0.8,-0.8,7.7,7.7,Percent_Change
Illinois,2015.0,12839047.0,49755.0,387.5,754.0,5.9,4926.0,38.4,3602.0,28.1,15056.0,117.3,29019.0,226.0,256962.0,2001.4,46846.0,364.9,192424.0,1498.7,17692.0,137.8,Yearly
Illinois,2016.0,12801539.0,55854.0,436.3,1054.0,8.2,4908.0,38.3,3635.0,28.4,17827.0,139.3,32065.0,250.5,262306.0,2049.0,47989.0,374.9,194407.0,1518.6,19910.0,155.5,Yearly
Illinois,,,12.3,12.6,39.8,40.2,-0.4,-0.1,0.9,1.2,18.4,18.8,10.5,10.8,2.1,2.4,2.4,2.7,1.0,1.3,12.5,12.9,Percent_Change
Indiana,2015.0,6612768.0,25373.0,383.7,370.0,5.6,2386.0,36.1,1757.0,26.6,7081.0,107.1,15536.0,234.9,171878.0,2599.2,34404.0,520.3,123940.0,1874.3,13534.0,204.7,Yearly
Indiana,2016.0,6633053.0,26845.0,404.7,439.0,6.6,2501.0,37.7,1851.0,27.9,7330.0,110.5,16575.0,249.9,171759.0,2589.4,34097.0,514.0,122931.0,1853.3,14731.0,222.1,Yearly
Indiana,,,5.8,5.5,18.6,18.3,4.8,4.5,5.4,5.0,3.5,3.2,6.7,6.4,-0.1,-0.4,-0.9,-1.2,-0.8,-1.1,8.8,8.5,Percent_Change
Michigan,2015.0,9917715.0,41712.0,420.6,585.0,5.9,6710.0,67.7,4782.0,48.2,7818.0,78.8,26599.0,268.2,191191.0,1927.8,40375.0,407.1,132019.0,1331.1,18797.0,189.5,Yearly
Michigan,2016.0,9928300.0,45572.0,459.0,598.0,6.0,7125.0,71.8,5114.0,51.5,7120.0,71.7,30729.0,309.5,189620.0,1909.9,39568.0,398.5,129876.0,1308.1,20176.0,203.2,Yearly
Michigan,,,9.3,9.1,2.2,2.1,6.2,6.1,6.9,6.8,-8.9,-9.0,15.5,15.4,-0.8,-0.9,-2.0,-2.1,-1.6,-1.7,7.3,7.2,Percent_Change
Ohio,2015.0,11605090.0,34373.0,296.2,522.0,4.5,5441.0,46.9,3990.0,34.4,12617.0,108.7,15793.0,136.1,303743.0,2617.3,69994.0,603.1,216354.0,1864.3,17395.0,149.9,Yearly
Ohio,2016.0,11614373.0,34877.0,300.3,654.0,5.6,5589.0,48.1,4141.0,35.7,12523.0,107.8,16111.0,138.7,299357.0,2577.5,66883.0,575.9,212807.0,1832.3,19667.0,169.3,Yearly
Ohio,,,1.5,1.4,25.3,25.2,2.7,2.6,3.8,3.7,-0.7,-0.8,2.0,1.9,-1.4,-1.5,-4.4,-4.5,-1.6,-1.7,13.1,13.0,Percent_Change
Wisconsin,2015.0,5767891.0,17549.0,304.3,240.0,4.2,1805.0,31.3,1324.0,23.0,5234.0,90.7,10270.0,178.1,114171.0,1979.4,19602.0,339.8,83572.0,1448.9,10997.0,190.7,Yearly
Wisconsin,2016.0,5778708.0,17679.0,305.9,229.0,4.0,1979.0,34.2,1458.0,25.2,4706.0,81.4,10765.0,186.3,111720.0,1933.3,19425.0,336.1,82337.0,1424.8,9958.0,172.3,Yearly
Wisconsin,,,0.7,0.6,-4.6,-4.8,9.6,9.4,10.1,9.9,-10.1,-10.3,4.8,4.6,-2.1,-2.3,-0.9,-1.1,-1.5,-1.7,-9.4,-9.6,Percent_Change
West North Central,2015.0,21095876.0,74131.0,351.4,951.0,4.5,9559.0,45.3,6940.0,32.9,14395.0,68.2,49226.0,233.3,517571.0,2453.4,96632.0,458.1,377626.0,1790.0,43313.0,205.3,Yearly
West North Central,2016.0,21185456.0,76282.0,360.1,911.0,4.3,9306.0,43.9,6881.0,32.5,14516.0,68.5,51549.0,243.3,509769.0,2406.2,92397.0,436.1,370238.0,1747.6,47134.0,222.5,Yearly
West North Central,,,2.9,2.5,-4.2,-4.6,-2.6,-3.1,-0.9,-1.3,0.8,0.4,4.7,4.3,-1.5,-1.9,-4.4,-4.8,-2.0,-2.4,8.8,8.4,Percent_Change
Iowa,2015.0,3121997.0,8619.0,276.1,73.0,2.3,1205.0,38.6,877.0,28.1,1050.0,33.6,6291.0,201.5,64688.0,2072.0,14977.0,479.7,45328.0,1451.9,4383.0,140.4,Yearly
Iowa,2016.0,3134693.0,9110.0,290.6,71.0,2.3,1247.0,39.8,922.0,29.4,1148.0,36.6,6644.0,212.0,65391.0,2086.0,15030.0,479.5,45378.0,1447.6,4983.0,159.0,Yearly
Iowa,,,5.7,5.3,-2.7,-3.1,3.5,3.1,5.1,4.7,9.3,8.9,5.6,5.2,1.1,0.7,0.4,-0.1,0.1,-0.3,13.7,13.2,Percent_Change
Kansas,2015.0,2906721.0,11483.0,395.0,126.0,4.3,1684.0,57.9,1226.0,42.2,1823.0,62.7,7850.0,270.1,80059.0,2754.3,15619.0,537.3,57435.0,1975.9,7005.0,241.0,Yearly
Kansas,2016.0,2907289.0,11060.0,380.4,111.0,3.8,1312.0,45.1,971.0,33.4,1671.0,57.5,7966.0,274.0,78367.0,2695.5,14364.0,494.1,57066.0,1962.9,6937.0,238.6,Yearly
Kansas,,,-3.7,-3.7,-11.9,-11.9,-22.1,-22.1,-20.8,-20.8,-8.3,-8.4,1.5,1.5,-2.1,-2.1,-8.0,-8.1,-0.6,-0.7,-1.0,-1.0,Percent_Change
Minnesota,2015.0,5482435.0,13319.0,242.9,133.0,2.4,2321.0,42.3,1679.0,30.6,3771.0,68.8,7094.0,129.4,121984.0,2225.0,19299.0,352.0,94704.0,1727.4,7981.0,145.6,Yearly
Minnesota,2016.0,5519952.0,13394.0,242.6,101.0,1.8,2348.0,42.5,1731.0,31.4,3728.0,67.5,7217.0,130.7,117756.0,2133.3,18606.0,337.1,90422.0,1638.1,8728.0,158.1,Yearly
Minnesota,,,0.6,-0.1,-24.1,-24.6,1.2,0.5,3.1,2.4,-1.1,-1.8,1.7,1.0,-3.5,-4.1,-3.6,-4.2,-4.5,-5.2,9.4,8.6,Percent_Change
Missouri,2015.0,6076204.0,30292.0,498.5,503.0,8.3,2573.0,42.3,1858.0,30.6,6383.0,105.0,20833.0,342.9,173788.0,2860.1,34029.0,560.0,122749.0,2020.2,17010.0,279.9,Yearly
Missouri,2016.0,6093000.0,31644.0,519.4,537.0,8.8,2554.0,41.9,1884.0,30.9,6570.0,107.8,21983.0,360.8,170549.0,2799.1,31710.0,520.4,120544.0,1978.4,18295.0,300.3,Yearly
Missouri,,,4.5,4.2,6.8,6.5,-0.7,-1.0,1.4,1.1,2.9,2.6,5.5,5.2,-1.9,-2.1,-6.8,-7.1,-1.8,-2.1,7.6,7.3,Percent_Change
Nebraska,2015.0,1893765.0,5167.0,272.8,62.0,3.3,885.0,46.7,648.0,34.2,994.0,52.5,3226.0,170.3,42597.0,2249.3,6443.0,340.2,32148.0,1697.6,4006.0,211.5,Yearly
Nebraska,2016.0,1907116.0,5550.0,291.0,49.0,2.6,994.0,52.1,738.0,38.7,946.0,49.6,3561.0,186.7,43163.0,2263.3,6444.0,337.9,31994.0,1677.6,4725.0,247.8,Yearly
Nebraska,,,7.4,6.7,-21.0,-21.5,12.3,11.5,13.9,13.1,-4.8,-5.5,10.4,9.6,1.3,0.6,,-0.7,-0.5,-1.2,17.9,17.1,Percent_Change
North Dakota,2015.0,756835.0,1949.0,257.5,21.0,2.8,391.0,51.7,285.0,37.7,159.0,21.0,1378.0,182.1,17716.0,2340.8,3296.0,435.5,12686.0,1676.2,1734.0,229.1,Yearly
North Dakota,2016.0,757952.0,1903.0,251.1,15.0,2.0,342.0,45.1,256.0,33.8,181.0,23.9,1365.0,180.1,17402.0,2295.9,3243.0,427.9,12195.0,1608.9,1964.0,259.1,Yearly
North Dakota,,,-2.4,-2.5,-28.6,-28.7,-12.5,-12.7,-10.2,-10.3,13.8,13.7,-0.9,-1.1,-1.8,-1.9,-1.6,-1.8,-3.9,-4.0,13.3,13.1,Percent_Change
South Dakota,2015.0,857919.0,3302.0,384.9,33.0,3.8,500.0,58.3,367.0,42.8,215.0,25.1,2554.0,297.7,16739.0,1951.1,2969.0,346.1,12576.0,1465.9,1194.0,139.2,Yearly
South Dakota,2016.0,865454.0,3621.0,418.4,27.0,3.1,509.0,58.8,379.0,43.8,272.0,31.4,2813.0,325.0,17141.0,1980.6,3000.0,346.6,12639.0,1460.4,1502.0,173.6,Yearly
South Dakota,,,9.7,8.7,-18.2,-18.9,1.8,0.9,3.3,2.4,26.5,25.4,10.1,9.2,2.4,1.5,1.0,0.2,0.5,-0.4,25.8,24.7,Percent_Change
South,2015.0,121039206.0,509043.0,420.6,7300.0,6.0,47277.0,39.1,33960.0,28.1,127149.0,105.0,327317.0,270.4,3393611.0,2803.7,719098.0,594.1,2422679.0,2001.6,251834.0,208.1,Yearly
South,2016.0,122319574.0,526999.0,430.8,7961.0,6.5,49246.0,40.3,35869.0,29.3,128842.0,105.3,340950.0,278.7,3343799.0,2733.7,684968.0,560.0,2391288.0,1955.0,267543.0,218.7,Yearly
South,,,3.5,2.4,9.1,7.9,4.2,3.1,5.6,4.5,1.3,0.3,4.2,3.1,-1.5,-2.5,-4.7,-5.7,-1.3,-2.3,6.2,5.1,Percent_Change
South Atlantic,2015.0,63192408.0,256283.0,405.6,3824.0,6.1,21620.0,34.2,15433.0,24.4,66792.0,105.7,164047.0,259.6,1721061.0,2723.5,352328.0,557.5,1246078.0,1971.9,122655.0,194.1,Yearly
South Atlantic,2016.0,63923309.0,258672.0,404.7,4077.0,6.4,22333.0,34.9,16174.0,25.3,66402.0,103.9,165860.0,259.5,1692669.0,2648.0,330122.0,516.4,1234761.0,1931.6,127786.0,199.9,Yearly
South Atlantic,,,0.9,-0.2,6.6,5.4,3.3,2.1,4.8,3.6,-0.6,-1.7,1.1,-0.1,-1.6,-2.8,-6.3,-7.4,-0.9,-2.0,4.2,3.0,Percent_Change
Delaware,2015.0,944076.0,4760.0,504.2,62.0,6.6,361.0,38.2,257.0,27.2,1240.0,131.3,3097.0,328.0,25545.0,2705.8,4797.0,508.1,19555.0,2071.3,1193.0,126.4,Yearly
Delaware,2016.0,952065.0,4844.0,508.8,56.0,5.9,308.0,32.4,221.0,23.2,1359.0,142.7,3121.0,327.8,26334.0,2766.0,5023.0,527.6,19791.0,2078.7,1520.0,159.7,Yearly
Delaware,,,1.8,0.9,-9.7,-10.4,-14.7,-15.4,-14.0,-14.7,9.6,8.7,0.8,-0.1,3.1,2.2,4.7,3.8,1.2,0.4,27.4,26.3,Percent_Change
District of Columbia,2015.0,670377.0,8538.0,1273.6,162.0,24.2,494.0,73.7,365.0,54.4,3746.0,558.8,4136.0,617.0,31444.0,4690.5,2971.0,443.2,25208.0,3760.3,3265.0,487.0,Yearly
District of Columbia,2016.0,681170.0,8214.0,1205.9,139.0,20.4,532.0,78.1,401.0,58.9,3480.0,510.9,4063.0,596.5,32716.0,4802.9,2361.0,346.6,27382.0,4019.8,2973.0,436.5,Yearly
District of Columbia,,,-3.8,-5.3,-14.2,-15.6,7.7,6.0,9.9,8.1,-7.1,-8.6,-1.8,-3.3,4.0,2.4,-20.5,-21.8,8.6,6.9,-8.9,-10.4,Percent_Change
Florida,2015.0,20244914.0,93625.0,462.5,1041.0,5.1,7552.0,37.3,5396.0,26.7,21137.0,104.4,63895.0,315.6,570270.0,2816.9,109268.0,539.7,420341.0,2076.3,40661.0,200.8,Yearly
Florida,2016.0,20612439.0,88700.0,430.3,1111.0,5.4,7598.0,36.9,5528.0,26.8,20175.0,97.9,59816.0,290.2,553812.0,2686.8,100325.0,486.7,410352.0,1990.8,43135.0,209.3,Yearly
Florida,,,-5.3,-6.9,6.7,4.8,0.6,-1.2,2.4,0.6,-4.6,-6.3,-6.4,-8.1,-2.9,-4.6,-8.2,-9.8,-2.4,-4.1,6.1,4.2,Percent_Change
Georgia,2015.0,10199398.0,38891.0,381.3,622.0,6.1,3257.0,31.9,2343.0,23.0,12545.0,123.0,22467.0,220.3,316013.0,3098.3,68149.0,668.2,220715.0,2164.0,27149.0,266.2,Yearly
Georgia,2016.0,10310371.0,40990.0,397.6,681.0,6.6,3509.0,34.0,2528.0,24.5,12205.0,118.4,24595.0,238.5,309770.0,3004.5,63344.0,614.4,219625.0,2130.1,26801.0,259.9,Yearly
Georgia,,,5.4,4.3,9.5,8.3,7.7,6.6,7.9,6.7,-2.7,-3.8,9.5,8.3,-2.0,-3.0,-7.1,-8.1,-0.5,-1.6,-1.3,-2.3,Percent_Change
Maryland,2015.0,5994983.0,28185.0,470.1,538.0,9.0,1717.0,28.6,1209.0,20.2,10111.0,168.7,15819.0,263.9,142547.0,2377.8,26432.0,440.9,102701.0,1713.1,13414.0,223.8,Yearly
Maryland,2016.0,6016447.0,28400.0,472.0,481.0,8.0,1756.0,29.2,1266.0,21.0,10289.0,171.0,15874.0,263.8,137445.0,2284.5,24692.0,410.4,100919.0,1677.4,11834.0,196.7,Yearly
Maryland,,,0.8,0.4,-10.6,-10.9,2.3,1.9,4.7,4.3,1.8,1.4,0.3,,-3.6,-3.9,-6.6,-6.9,-1.7,-2.1,-11.8,-12.1,Percent_Change
North Carolina,2015.0,10035186.0,34734.0,346.1,517.0,5.2,2591.0,25.8,1886.0,18.8,8821.0,87.9,22805.0,227.3,275915.0,2749.5,74760.0,745.0,187732.0,1870.7,13423.0,133.8,Yearly
North Carolina,2016.0,10146788.0,37769.0,372.2,678.0,6.7,2849.0,28.1,2086.0,20.6,9336.0,92.0,24906.0,245.5,277765.0,2737.5,72082.0,710.4,190377.0,1876.2,15306.0,150.8,Yearly
North Carolina,,,8.7,7.5,31.1,29.7,10.0,8.7,10.6,9.4,5.8,4.7,9.2,8.0,0.7,-0.4,-3.6,-4.6,1.4,0.3,14.0,12.8,Percent_Change
South Carolina,2015.0,4894834.0,24448.0,499.5,407.0,8.3,2439.0,49.8,1717.0,35.1,3950.0,80.7,17652.0,360.6,162830.0,3326.6,34942.0,713.9,114778.0,2344.9,13110.0,267.8,Yearly
South Carolina,2016.0,4961119.0,24896.0,501.8,366.0,7.4,2387.0,48.1,1711.0,34.5,4035.0,81.3,18108.0,365.0,160928.0,3243.8,32976.0,664.7,114032.0,2298.5,13920.0,280.6,Yearly
South Carolina,,,1.8,0.5,-10.1,-11.3,-2.1,-3.4,-0.3,-1.7,2.2,0.8,2.6,1.2,-1.2,-2.5,-5.6,-6.9,-0.6,-2.0,6.2,4.8,Percent_Change
Virginia,2015.0,8367587.0,16705.0,199.6,390.0,4.7,2499.0,29.9,1767.0,21.1,4459.0,53.3,9357.0,111.8,157803.0,1885.9,21542.0,257.4,128064.0,1530.5,8197.0,98.0,Yearly
Virginia,2016.0,8411808.0,18302.0,217.6,484.0,5.8,2737.0,32.5,1965.0,23.4,4803.0,57.1,10278.0,122.2,156412.0,1859.4,20018.0,238.0,126606.0,1505.1,9788.0,116.4,Yearly
Virginia,,,9.6,9.0,24.1,23.5,9.5,8.9,11.2,10.6,7.7,7.1,9.8,9.3,-0.9,-1.4,-7.1,-7.6,-1.1,-1.7,19.4,18.8,Percent_Change
West Virginia,2015.0,1841053.0,6397.0,347.5,85.0,4.6,710.0,38.6,493.0,26.8,783.0,42.5,4819.0,261.8,38694.0,2101.7,9467.0,514.2,26984.0,1465.7,2243.0,121.8,Yearly
West Virginia,2016.0,1831102.0,6557.0,358.1,81.0,4.4,657.0,35.9,468.0,25.6,720.0,39.3,5099.0,278.5,37487.0,2047.2,9301.0,507.9,25677.0,1402.3,2509.0,137.0,Yearly
West Virginia,,,2.5,3.1,-4.7,-4.2,-7.5,-7.0,-5.1,-4.6,-8.0,-7.5,5.8,6.4,-3.1,-2.6,-1.8,-1.2,-4.8,-4.3,11.9,12.5,Percent_Change
East South Central,2015.0,18862932.0,81850.0,433.9,1238.0,6.6,7640.0,40.5,5497.0,29.1,17737.0,94.0,55235.0,292.8,524162.0,2778.8,126612.0,671.2,362030.0,1919.3,35520.0,188.3,Yearly
East South Central,2016.0,18940194.0,86674.0,457.6,1391.0,7.3,7548.0,39.9,5455.0,28.8,18265.0,96.4,59470.0,314.0,513087.0,2709.0,118565.0,626.0,353470.0,1866.2,41052.0,216.7,Yearly
East South Central,,,5.9,5.5,12.4,11.9,-1.2,-1.6,-0.8,-1.2,3.0,2.6,7.7,7.2,-2.1,-2.5,-6.4,-6.7,-2.4,-2.8,15.6,15.1,Percent_Change
Alabama,2015.0,4853875.0,22957.0,473.0,348.0,7.2,2037.0,42.0,1449.0,29.9,4612.0,95.0,15960.0,328.8,144785.0,2982.9,35265.0,726.5,99182.0,2043.4,10338.0,213.0,Yearly
Alabama,2016.0,4863300.0,25886.0,532.3,407.0,8.4,1916.0,39.4,1385.0,28.5,4686.0,96.4,18877.0,388.2,143362.0,2947.8,34065.0,700.5,97574.0,2006.3,11723.0,241.1,Yearly
Alabama,,,12.8,12.5,17.0,16.7,-5.9,-6.1,-4.4,-4.6,1.6,1.4,18.3,18.0,-1.0,-1.2,-3.4,-3.6,-1.6,-1.8,13.4,13.2,Percent_Change
